search_title,job_title,relevance_score,company,location,posted,url,licensed_sponsor,sponsorship_signal,sponsorship_evidence,hiring_contact_name,hiring_contact_title
ai engineer,ML & AI Engineer,0.4375,Vallum Associates,"London Area, United Kingdom",2026-03-05,https://uk.linkedin.com/jobs/view/ml-ai-engineer-at-vallum-associates-4381473983,True,unknown,,,
junior data analyst,Junior Data Analyst,0.42857142857142855,Pinnacle Group Limited,"London, England, United Kingdom",2026-03-09,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-pinnacle-group-limited-4381745269,True,unknown,,,
junior data analyst,Junior Data Analyst,0.42857142857142855,ivee,"London Area, United Kingdom",2026-03-05,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-ivee-4379899014,True,unknown,,,
data scientist,"Data Scientist, Product Analytics",0.42857142857142855,Meta,"London, England, United Kingdom",2026-03-03,https://uk.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4140098888,True,unknown,,,
data scientist,"Data Scientist, Product Analytics",0.42857142857142855,Meta,"London, England, United Kingdom",2026-03-03,https://uk.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4311347069,True,unknown,,,
data analyst,Junior Data Analyst,0.42857142857142855,TRIA,"London Area, United Kingdom",2026-02-27,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-tria-4375977848,True,unknown,,,
junior ai engineer,AI Engineer,0.42857142857142855,Aspect,"London Area, United Kingdom",2026-02-12,https://uk.linkedin.com/jobs/view/ai-engineer-at-aspect-4372114277,True,unknown,,,
ai trainer,Data AI Trainer,0.42105263157894735,Bloomberg,"London, England, United Kingdom",2026-03-07,https://uk.linkedin.com/jobs/view/data-ai-trainer-at-bloomberg-4349617485,True,unknown,,,
ml engineer,AI/ML Engineer,0.4,Calyptus,"Greater London, England, United Kingdom",2026-03-10,https://uk.linkedin.com/jobs/view/ai-ml-engineer-at-calyptus-4383487880,True,unknown,,,
ml engineer,AI and ML Engineer,0.3902439024390244,Harnham,"London, England, United Kingdom",2026-02-25,https://uk.linkedin.com/jobs/view/ai-and-ml-engineer-at-harnham-4376723129,True,unknown,,,
